E1,Relation,E2
NfL,associated with,cognitive functioning
biomarkers,are associated with,cognitive functions
Alzheimer's disease,causes,cognitive impairment
Alzheimer's disease,can lead to,cognitive impairment
Alzheimer's disease,can cause,cognitive impairment
Alzheimer's disease pathology,leads to,cognitive impairment
Amyloid-β depositions,causes,cognitive impairment
Amyloid-β depositions,are the cause of,cognitive impairment
Amyloid-β depositions,lead to,cognitive impairment
Amyloid-β depositions,result in,cognitive impairment
Amyloid-β depositions,are associated with,cognitive impairment
APOE ε4,is associated with,cognitive impairment
Apolipoprotein E (APOE) genotypes,have been suggested to influence,cognitive impairment
Apolipoprotein E ε4,can cause,cognitive impairment
Apolipoprotein E ε4,can jointly cause,cognitive impairment
Apolipoprotein E ε4,have significant impact on,cognitive impairment
Apolipoprotein E ε4 and sleep disorders,can lead to,cognitive impairment
Apolipoprotein E ε4 and sleep disorders,may result in,cognitive impairment
Apolipoprotein E ε4 and sleep disorders,can jointly cause,cognitive impairment
arterial stiffness,has been associated with,cognitive impairment
arterial stiffness,is associated with,cognitive impairment
burden of neurofibrillary tangles,is a cause of,cognitive impairment
cerebral amyloid angiopathy,is a cause of,cognitive impairment
cerebral amyloid angiopathy,is associated with,cognitive impairment
clinical Alzheimer's disease CSF biomarkers,are associated with,cognitive impairment
combination of Apolipoprotein E ε4 and sleep disorders,may cause,cognitive impairment
cSVD,causes,cognitive impairment
disease,can cause,cognitive impairment
disease,can lead to,cognitive impairment
disease,is associated with,cognitive impairment
disorder,is associated with,cognitive impairment
disrupted connectivity,may underlie the cause of,cognitive impairment
Downstream neurodegeneration,leads to,cognitive impairment
elevated pulse pressure,is associated with,cognitive impairment
elevated pulse pressure,has been associated with,cognitive impairment
extracellular tau species,may contribute to,cognitive impairment
fibrillar tau,has effect on,cognitive impairment
HbA1c,predicted,cognitive impairment
HbA1c ≥ 7%,predicted,cognitive impairment
imaging markers,are associated with,cognitive impairment
interaction between Apolipoprotein E ε4 and sleep disorders,may result in,cognitive impairment
interventions,contribute to,cognitive impairment
interventions,may contribute to,cognitive impairment
it,is proposed to contribute to,cognitive impairment
it,contribute to,cognitive impairment
It,is proposed to contribute to,cognitive impairment
it,proposed to contribute to,cognitive impairment
it,causes,cognitive impairment
neurofibrillary degeneration,contributes to,cognitive impairment
neurofibrillary degeneration,causes,cognitive impairment
neurofibrillary tangles,cause,cognitive impairment
neurofibrillary tangles,are a cause of,cognitive impairment
neurofibrillary tangles,is a cause of,cognitive impairment
neuropsychiatric symptoms,are associated with,cognitive impairment
NFL,associated with,cognitive impairment
PC 3,is associated with,cognitive impairment
poorer sleep quality,was associated with,cognitive impairment
sleep disorders,can cause,cognitive impairment
sleep disorders,can jointly cause,cognitive impairment
sleep disorders,have significant impact on,cognitive impairment
sleep quality,is associated with,cognitive impairment
sleep quality,associated with,cognitive impairment
SNPs,were associated with,cognitive impairment
these interventions,may contribute to,cognitive impairment
this relationship,may lead to,cognitive impairment
models,predicted,cognitive impairment across the entire cohort
hippocampal atrophy,increased the risk of,cognitive impairment in A+T+
inferior parietal hypometabolism,increased the risk of,cognitive impairment in A+T+
models,predicted,cognitive impairment in amyloid PET-positive individuals
elevated plasma Aβ(40),was associated with,Cognitive impairment in hypertension
activated microglia activation,caused,cognitive impairment in mice
computational modeling framework,to predict,cognitive impairment progression
framework,predicts,cognitive impairment progression
elevated HbA1c levels,are associated with,cognitive impairments
Temporal lobe epilepsy,is often associated with,cognitive impairments
lowered microglia activation,contributes to,cognitive improvement
cognition,suggests,cognitive limitations may have influenced understanding of the environment
Alzheimer's disease periventricular diffusivity,is associated with,cognitive outcomes
amyloid,has an impact on,cognitive outcomes
amyloid burden,are associated with,cognitive outcomes
amyloid burden,associated with,cognitive outcomes
PVeD,are associated with,cognitive outcomes
PVeD,associated with,cognitive outcomes
sex,has an impact on,cognitive outcomes
ML model,was developed to predict,cognitive outcomes at baseline and decline (slope)
Alzheimer's disease-related neurodegeneration imaging markers,were not associated with,cognitive performance
amyloid beta 42/40 ratio,was less so associated with,cognitive performance
biomarkers tested,were predictive of,cognitive performance
body mass index,has an impact on,cognitive performance
Dyslipidemia,has an impact on,cognitive performance
glial fibrillary acidic protein,were associated with,cognitive performance
glial fibrillary acidic protein,associated with,cognitive performance
Hypertension,has an impact on,cognitive performance
neurofilament light chain,were associated with,cognitive performance
neurofilament light chain,associated with,cognitive performance
phosphorylated tau (p-tau)181,was particularly associated with,cognitive performance
plasma p-tau217,was more associated with,cognitive performance
Tau pathology,is associated with,cognitive performance
microbleeds,are not associated with,cognitive performance in participants with Down syndrome
rate of change of soluble TREM2 sTREM2,is associated with,cognitive performance in the entire cohort
MIND diet,demonstrated a marginally greater impact on,cognitive preservation
AD dementia,is associated with,cognitive resilience
axonal degeneration,could impact,cognitive resilience
NPTX2,may be associated with,cognitive resilience
vascular pathology,could impact,cognitive resilience
plasma amyloid-β,were not associated with,cognitive severity
plasma tau concentrations,were not associated with,cognitive severity
amyloid status,were examined,cognitive status
CSF/Plasma ratio,found a significant difference in,Cognitive Status
CSF/Plasma ratio,associated with,Cognitive Status
eGFR and CSF AD biomarkers association,varies by,cognitive status
participants ability,to distinguish,cognitive status
proteins,associated with,Cognitive Status
it,was less associated with,cognitive status in A+ individuals
music therapy,has been shown to positively influence,cognitive status in older adults with Alzheimer's disease dementia
Plasma p-tau181,was associated with,cognitive status in the Dementia with Lewy bodies group
ability to predict cognitive decline,was examined,cognitive status of the participants
amyloid duration,has impact on,cognitive trajectories
amyloid duration,impacts,cognitive trajectories
estimated number of years an individual has been amyloid-positive,has impact on,cognitive trajectories
model,predict,cognitive trajectory
this high-risk population,for,cognitive trajectory
increased amyloid-beta deposition,is associated with,cognitively impaired older adults
amygdala tau,accumulates in,cognitively normal individuals
plasma biomarker changes,examined in,cognitively normal individuals
Amyloid-β,had impact,cognitively unimpaired
cognitively impaired individuals,compared to,cognitively unimpaired individuals
increased Aβ PET accumulation,in,cognitively unimpaired individuals
plasma p-tau217,compared to,cognitively unimpaired individuals
elevated pulse pressure,is associated with,cognitively unimpaired older adults
heterogeneity,because,cohort sizes were small
