E1,Relation,E2
Genetically associated Television (TV) viewing,was positively associated with,Intervertebral disk degeneration (IVDD)
Genetically associated Television (TV) viewing,was positively associated with,Low back pain (LBP)
Genetically associated Television (TV) viewing,was positively associated with,risk of Cervical spondylosis (CS)
Genetically associated Television (TV) viewing,was positively associated with,sciatica
genetically predicted 3-hydroxy-3-methylglutaryl-coenzyme A reductase inhibition,was associated with,higher waist-to-hip ratio
genetically predicted ALM,had inverse association with,Alzheimer's disease
genetically predicted ALM,had inverse association with,any ischemic Stroke
genetically predicted ALM,was associated with,increased risk of pulmonary embolism
genetically predicted Appendicular lean mass,is associated with,risk of stroke and Alzheimer's disease
genetically predicted Appendicular lean mass,is causally associated with,risk of stroke and Alzheimer's disease
genetically predicted concentrations of serum hemoglobin,were associated with,risk of GC
genetically predicted dyslipidemia,was associated with,decreased levels of mtDNA copy number
genetically predicted dyslipidemia,was suggestive of,evidence for a potential causal association between CAD and mtDNA copy number
genetically predicted dyslipidemia,association between,mtDNA copy number
genetically predicted elevated levels of type 2 diabetes mellitus serum 25(OH)D,associated with,reduced risk of type 2 diabetes mellitus T2DM
genetically predicted glucose,did not find a causal effect of,Inflammatory bowel disease
genetically predicted lifetime smoking index,causal association between,Endometrial carcinoma risk
genetically predicted lifetime smoking index,is associated with,Endometrial carcinoma risk
genetically predicted lifetime smoking index,is associated with,endometrial carcinoma risk
genetically predicted MetS,had a significantly positive association with,risk of AA
Genetically predicted Moderate-to-vigorous physical activity,reduced the risk of,type 1 diabetes mellitus diabetic nephropathy
genetically predicted β-OHB,had inverse correlations between,cystatin c
genetically predicted physical activity,reduced,risk of diabetic nephropathy
genetically predicted serum albumin level traits,were not associated with,"HF, CAD and T2DM"
genetically predicted serum albumin levels,were associated with,AF
genetically predicted serum albumin levels,were associated with,Stroke
genetically predicted SGLT2 inhibition,was associated with,reduced risk of prostate cancer
genetically predicted SGLT2 inhibition,was associated with,reduced risk of prostate-specific antigen
genetically predicted SGLT2 inhibition,was associated with,reduced risk of type 2 diabetes mellitus
genetically predicted T1DM,was associated with,increased risk of primary sclerosing cholangitis
genetically predicted T2DM,is causally associated with,GBM
genetically predicted Type 2 Diabetes Mellitus Fasting Glucose,is associated with,increased risk of PUs
genetically predicted uric acid increases,is between,diabetic microvascular complications
genetics,plays a role in,development of mental illness
Genome-Wide Association Studies (GWAS) database,analyzed to assess,causal effects of blood glucose and lipid risk factors on SHL and ISHL
Genome-Wide Association Studies (GWAS) database,from,European populations
genotype of rs7901695,was associated with,genetic susceptibility to T2DM
genotype of rs7901695,was associated with,genetic susceptibility to T2DM in recessive models
"Genus Acinetobacter, class Alphaproteobacteria, and genus Bacteroides in the skin microbiome",are associated with,increased risk of T2DM
genus RuminococcaceaeUCG010,being significantly associated with,decreased risk of T2DM
gestational diabetes,may be in part due to,low postnatal diabetes screening rates
gestational diabetes mellitus,does not support a causal relationship between,autism spectrum disorder
gestational diabetes mellitus,was not associated with,risk of ASD
Gestational diabetes mellitus,was not associated with,the risk of ASD
Gestational diabetes mellitus (GDM),increases the risk of,future type 2 diabetes (T2DM)
gestational diabetes mellitus (GDM),increases the risk of,future type 2 diabetes (T2DM)
gestational diabetes mellitus (gdm),increases the risk of,future type 2 diabetes (t2dm)
getting up in the morning,reduced,risk of angina pectoris SAP
getting up in the morning,is negatively associated with,stable angina pectoris
GKAs,led to increases in,body weight
GKAs,led to,increase in body weight
GKAs,led to,increase in liver enzymes
GKAs,led to,increase in triglycerides
GKAs,led to,increases in body weight
GKAs,led to increases in,liver enzymes
GKAs,led to increases in,triglycerides
Glargine,caused,hypoglycemia
Glargine,causes,less hypoglycemia
glaucoma,is the leading cause of,irreversible blindness worldwide
glial dysfunction,is closely associated with,hippocampal neuroinflammation
Glial dysfunction,is closely associated with,tau hyperphosphorylation
Glimepiride,causes,hypoglycemia
Glioblastoma (GBM),prevalence of,globally
Glioblastoma (GBM),rises,globally
global health crisis,due to,cardiovascular disease (CVD)
Global Lipids Genetics Consortium genome-wide association study (GWAS),extracted,genetic variants associated with lipid traits and variants of genes encoding seven lipid-related drug targets
global neurological disability,is caused by,Migraine
global population-attributable fractions for deaths,due to,type 2 diabetic nephropathy
GLP-1 receptor agonists,are a type of,drug
GLP-1 receptor agonists,were associated with,greatest reduction in Lung cancer risk
GLP-1 receptor agonists,impact on,Lung cancer risk
GLP1 agonists,reduce,all-cause mortality
GLP1 agonists,reduce,MACE
GLP1 agonists,compared to,type 2 diabetes mellitus care
GLP1R agonism,decreased,BMI
GLP1R agonism,had causal effect on,HF
GLP1R agonism,was partially mediated through,LDL-C
GLP1R agonism,significantly reduced,risk of T2DM
GLP1R agonism,reduced,risk of T2DM
GLP1R agonists,with,reduced risk of HF
glucagon,have stimulatory effects on,insulin release
glucagon,may lead to,recurrent hypoglycemia
Glucagon-like peptide-1 receptor agonists,are associated with,higher risk of chronic tubulo-interstitial nephritis
Glucagon-like peptide-1 receptor agonists,impacts of,need to be evaluated
Glucagon-like peptide-1 receptor gene expression,leads to,cAMP release
glucagon-like peptide-1 receptor gene expression,leads to,glucagon-like peptide-1 receptor protein synthesis
glucocorticoid medication use,is associated with,iridocyclitis
glucolipid metabolism in the offspring,is caused by,maternal preconception hyperglycaemia
glucose and insulin homeostasis,are related to,influence of fats
glucose and insulin homeostasis,are related to,influence of melatonin
glucose elevation,occurs as a result of,peripheral insulin resistance
glucose fluctuations,increase,risk of AD
glucose metabolism,impact on,cognitive impairment
glucose metabolism,impact on,insulin signaling pathways
glucose metabolism,impact on,mitochondrial function
